বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
ভারতের ভেতরের বাংলাদেশের কতটি ছিটমহল আছে ?	উঃ ৫১ টি।			
বাংলাদেশী ছিটমহলগুলো ভারতের কোন জেলার অর্ন্তগত?	উঃ পশ্চিমবঙ্গের কুচবিহার জেলার।			
বাংলাদেশের ভেতরে ভারতের কতটি ছিটমহল আছে ?	উঃ ১১১টি। লালমনিরহাটে ৫৯টি, পঞ্চগড়ে ৩৬টি, নীলফামারীতে ৪টি এবং কুড়িগ্রামে ১২ টি।
ভারতের মধ্যে বাংলাদেশী ছিটমহলগুলোর আয়তন কত?	উঃ ৭১১০.০২ একর।			
তিনবিঘা করিডোরের বিনিময়ে ভারতকে কোন ছিটমহল হস্তান্তর করে ?	উঃ বেরুবাড়ী।			
তিনবিঘা করিডরের পরিমাপ কত?	উঃ ১৭৮ মিটার ও ৮৫ মিটার।			
কোন তারিখে তিনবিঘা করিডোর ভারত খুলে দেয়?	উঃ ২৬ জুন, ১৯৯২।			
লালমনিরহাট জেলা থেকে তিনবিঘার দূরত্ব কত?	উঃ ৮০ মাইল।			
আলুটিলা পাহাড় কোথায় অবস্থিত ?	উঃ খাগড়াছড়ি জেলায়।			
“চন্দ্রনাথের পাহাড়” কেন বিখ্যাত ?	উঃ হিন্দুদের তীর্থ স্থানের জন্য।			
বাংলাদেশের সর্ব দক্ষিণে অবস্থিত থানা শহর কোনটি ?	উঃ টেকনাফ।			
বাংলাদেশের সর্ব উত্তরে অবস্থিত থানা শহর কোনটি ?	উঃ তেতুলিয়া।			
বাংলাদেশের সর্ব পশ্চিমে থানা শহর কোনটি ?	উঃ শিবগঞ্জ (চাপাইনবাবগঞ্জ)			
বাংলাদেশের সর্ব পূর্বের উপজেলা কোনটি ?	উঃ থানচি।			
আয়তনের দিক দিয়ে বাংলাদেশের বৃহত্তম থানা কোনটি?	উঃ শ্যামনগর।			
বাংলাদেশের সবচেয়ে ক্ষূদ্রতম থানা (আয়তনে)?	উঃ লালবাগ।			
বাংলাদেশের সবচেয়ে উচু পাহাড় কোনটি ?	উঃ গারো পাহাড়।			
লালমাই পাহাড় কোথায় অবস্থিত ?	উঃ কুমিল্লা।			
বাংলাদেশের সর্বোচ্চ পর্বতশৃঙ্গ কোনটি ?	উঃ তাজিওডাং (বিজয়) উচ্চতা-১২৩১ মিটার।			
বাংলাদেশের দ্বিতীয় সর্বোচ্চ পর্বতশৃঙ্গ কোনটি ?	উঃ কেওক্রাডাং, উচ্চতা ১২৩০ মিটার।			
দুবলার চর কোথায় অবস্থিত ?	উঃ নোয়াখালী।			
কোন জেলায় চর মানিক ও চর জব্বার অবস্থিত ?	উঃ ভোলা জেলায়।			
চর কুকড়ি মুকড়ি ও চর নিউটন কোথায় অবস্থিত?	উঃ ভোলা জেলার চরফ্যাশনে।			
মুহুরীর চর কোথায় অবস্থিত ?	উঃ ফেনী জেলায়।			
বাংলাদেশের বৃহত্তম বিলের নাম কি ?	উঃ চলনবিল।			
চলনবিল কোথায় অবস্থিত ?	উঃ পাবনা ও নাটোর জেলায়।			
তামাবিল কোথায় অবস্থিত?	উঃ সিলেট জেলায়।			
বাংলাদেশের সর্ববৃহৎ হাওর কোনটি ?	উঃ হাকালুকি হাওর।			
হাকালুকি হাওর কোথায় অবস্থিত?	উঃ সিলেট জেলায়।			
বাংলাদেশের বিখ্যাত জলপ্রপাত কোনটি ?	উঃ মাধবকুন্ড জলপ্রপাত।			
মাধবকুন্ড জলপ্রপাত কোথায় অবস্থিত ?	উঃ মৌলভীবাজার জেলার বড়লেখায়।			
মাধবকুন্ড জলপ্রপাতের উৎপত্তিস্থল কোথায় ?	উঃ মৌলভীবাজার জেলায়।			
মাধবকুন্ড জলপ্রপাতে কতফুট ওপর থেকে পানি নিচে পতিত হয় ?	উঃ ২৫০ ফুট।			
বাংলাদেশের সাথে সরাসরি সীমান্ত যোগাযোগ আছে কোন কোন দেশের সাথে?	উঃ ভারত ও মায়ানমারের সাথে।			
বাংলাদেশের সাথে ভারতের কয়টি রাজ্যের সীমান্ত আছে?	উঃ ৫ টি (পশ্বিমবঙ্গ, আসাম, মেঘালয়, ত্রিপুরা ও মিজোরাম)			
কোন যুগে বাংলাদেশের পাহাড়সমূহ গঠিত হয়?	উঃ টারশিয়ারী যুগে।			
ঢাকার প্রতিপাদ স্থান কোনটি?	উঃ চিলির নিকট প্রশান্ত মহাসাগরে।			
বাংলাদেশের দক্ষিণে ভারতের কোন দ্বীপপুঞ্জ আছে?	উঃ আন্দামান নিকোবর দ্বীপপুঞ্জ।			
অবস্থান অনুসারে বাংলাদেশের টারশিয়ারী পাহাড়কে কয় ভাগে ভাগ করা হয়েছে ?	উঃ দুই ভাগে।			
বাংলাদেশের মোট নদ নদীর দৈর্ঘ্য প্রায়-?	উঃ ২৪,১৪০ বর্গ কিঃমিঃ।			
বাংলাদেশ-ভারত সীমান্তে নো ম্যানস ল্যান্ড হিসেবে ব্যবহৃত হয়?	উঃ জিরো পয়েন্টে উভয় দিকে ৪৫০ ফুট পর্যন্ত জমি।
বাংলাদেশের বার্ষিক গড় তাপমাত্রা কত ?	উঃ ২৬.০১ সেলসিয়াস।			
বাংলাদেশের শীতকালের গড় তাপমাত্রা কত ?	উঃ ১৮.৭২ সেলসিয়াস।			
